drugbank_target_id,guideto_target_id
O54851,724
P08034,723
P35212,725
P33725,726
Q96KN9,727
P28229,729
P17302,728
P29414,730
Q8BQU6,731
P48165,732
A0A6B7FI82,734
A0A4P9D227,733
P25024,68
P25025,69
P49682,70
Q9YGC3,71
P32302,72
O00574,73
Q9Z0D9,74
Q9KVG7,3165
Q15078,1961
Q9NYV4,1965
P42773,1971
Q14004,1966
Q9BWU1,1972
P51480,1973
Q16667,1975
P51480,1976
Q15078,1977
Q64261,1978
P24788,1979
Q84TI6,1980
P50750,1981
P14137,1358
P15538,1359
P19099,1360
P05093,1361
P11511,1362
P00185,1318
P05177,1319
Q16667,2027
Q64429,1320
P08686,1364
G5ECH7,1983
Q07973,1365
Q02318,1369
O43174,1366
P24788,1982
O15528,1370
Q16696,1323
P20813,1324
P11509,1321
P33260,1327
P10632,1325
P33261,1328
P11712,1326
P10635,1329
Q05421,1330
P08684,1337
P51589,1332
P20815,1338
P78329,1344
Q02928,1341
Q9HCS2,1348
Q86W10,1352
Q16850,1374
P24557,1353
Q16647,1356
P22680,1354
Q99JA4,269
Q9NS75,270
P35520,1443
P35520,1444
Q9WTR6,902
Q9GZX7,3133
A0A2Z5Y2M6,927
P04839,3002
O14763,1880
Q8R2F2,2484
Q91WC9,1396
Q91WC9,1397
Q8K9I1,317
Q86XF0,2603
Q02127,2604
Q12882,3102
P16410,2743
P81535,1393
Q96PD6,2821
P14740,1612
Q9UHL4,1605
Q6V1X1,2356
Q86TI2,2357
P53602,642
O43293,2002
P49281,967
Q09013,1505
Q08345,1843
P30181,2636
P15101,2486
O15075,2005
Q8N568,2006
Q8TEK3,2650
Q16832,1844
Q8N568,2007
Q00765,338
Q14188,339
P34881,2605
P11388,2637
P14416,215
P21728,214
A0A2H4NI47,216
Q1HG44,2999
Q13627,2009
Q9Y463,2010
P21917,217
P21918,218
Q13627,2013
Q8CE08,1232
Q9UNE0,2325
Q9XTF3,2011
Q13627,2012
Q9MYU4,2888
Q9HAV5,1896
Q9MYU4,2889
G5EBV0,2833
G5EBV0,2832
G5EBV0,2834
P08246,2358
O75530,2487
O62816,742
P17813,2895
Q9NZ08,1566
Q6P179,1567
P29474,1249
P32361,2020
P42892,1615
P0DPD9,1616
P20827,1821
P52801,1822
P52797,1823
Q61188,2835
P52798,1824
P52803,1825
Q9UF33,1826
Q61188,2654
Q15375,1827
Q99814,3148
P29322,1828
P52795,1830
P52799,1831
Q15768,1832
O73875,1833
O15197,1834
Q9H6S3,1797
P34914,2970
P34995,340
Q62053,341
P43115,342
Q9JIM1,1117
P35408,343
K7FH73,1798
K7FH73,2019
Q8VHL0,982
Q99527,620
K7FH73,1799
Q99527,621
P11474,622
P11474,623
P11474,624
P24530,220
Q12913,219
Q9Z148,2652
Q9H9B1,2651
Q03963,2016
D0Z5N4,2017
Q9BQI3,2015
O08796,2014
Q9BQI3,2018
P43005,868
P43005,869
P43005,871
P43005,870
P14068,3014
Q96RI1,603
Q96RI1,604
P25445,1875
Q9LX33,2826
P14324,644
Q6GMR7,1401
P97612,1400
P43005,872
Q920L6,2608
Q60714,1108
Q91VE0,1111
Q2TB54,2991
Q8MI30,2933
H2R8H6,2935
P55899,2985
Q9NP59,1194
A0A0B4J2J1,3017
Q76JU9,225
P16591,2022
P07332,2023
O15552,226
O15552,227
Q5NUL3,127
P09769,2024
Q8N441,1808
P11362,1809
Q91V87,1810
Q8N441,1811
Q02790,3176
Q9FJL3,3175
P62942,2609
P17948,1812
Q9FJL3,3177
P17948,1807
P17948,1814
P21462,222
P38911,224
Q12884,2365
P43088,344
P23945,253
P06241,2026
Q922K9,2025
Q9UP38,229
Q14332,230
P09958,2366
Q9ULV1,232
Q13467,233
O60353,234
O75084,235
Q5U4E0,404
Q9H461,236
Q5U4E0,405
Q5U4E0,406
Q5U4E0,407
Q04609,1606
Q5U4E0,408
Q5U4E0,409
Q5U4E0,411
Q5U4E0,412
Q5U4E0,416
Q5U4E0,417
Q5U4E0,413
Q5U4E0,414
Q5U4E0,415
Q5U4E0,419
Q5U4E0,420
Q5U4E0,421
Q5U4E0,422
Q9UBS5,240
Q5U4E0,418
B6GVL6,241
Q8NFN8,242
P47211,243
O60755,245
O43603,244
P23978,929
Q9NSD5,930
P48066,931
Q8K9I1,1268
Q8K9I1,1392
O08842,1743
Q6SJE0,2977
Q92847,246
O95749,643
P48546,248
P43220,249
Q02643,247
P01274,250
P19490,444
P07730,445
P19492,446
P43220,251
P48058,447
Q9UNG2,1890
Q07071,2798
Q9NRY4,625
O43826,1168
Q9HCG7,2978
P17809,875
Q60934,450
P11166,876
P42264,452
Q01812,453
P14142,877
Q13002,451
P35439,455
Q63273,454
Q00959,456
Q00960,457
Q01098,458
Q62645,459
P14672,878
O94925,2891
Q05329,1273
Q07075,1568
Q99259,1272
Q9NXS2,2411
Q93379,2613
P22607,428
Q9M6A7,423
Q9M6A7,424
Q9M6A7,425
Q9M6A7,427
P78417,3110
P51654,2959
P49841,2030
P49840,2029
P28571,935
Q9Y345,936
P01148,256
P32927,1707
O43555,257
P36408,37
Q99527,221
Q5T6X5,55
P32298,1468
P34947,1469
P32298,1465
Q99062,1719
P15509,2309
P10144,2369
P43028,2587
Q02643,1720
P51839,1747
P52785,1287
O70293,1470
P52785,2897
P20594,1748
P25092,1750
A0A0U1RPR8,2898
P55203,2031
Q8WTQ7,1471
P51842,2899
P30519,1442
P09601,1441
Q9BXC0,311
Q8TDS4,312
P49019,313
P07332,2032
O60741,400
Q9P1Z3,402
Q9Y3Q4,403
Q9UL51,401
F6X099,2905
Q9Y251,2996
P41235,608
P19113,1274
Q92956,1887
Q71LX8,2907
P08617,2952
Q969S8,2614
Q9HXM1,2658
Q96DB2,2615
P08238,2904
O17323,2616
O88895,2617
O17323,2659
