drugbank_target_id,guideto_target_id
Q99J21,501
Q8K595,502
Q8TDD5,503
A0A0D3QG25,504
O35433,507
Q13563,505
Q9Y5S1,508
Q8NET8,509
Q9HBA0,510
P69744,511
Q9H1D0,512
Q15661,2424
Q9NRR2,2425
P48775,2887
P16473,255
P33981,2264
Q4QRB4,2752
Q13885,2640
P19438,1870
P42681,2268
Q9NP84,1884
P20333,1871
Q0MVP0,2643
P09758,2837
Q03963,2269
P55144,1836
O54967,2245
Q02858,1841
P09936,2426
G5EBZ8,2246
Q9JKB1,2427
Q86UV5,2429
Q9R0E0,2528
Q96AP4,2428
Q53GS9,2431
Q9Z2R6,3011
Q6PHR2,2271
O60656,2990
Q6PHR2,2272
Q23023,2273
A0A1L7E3Z4,365
O95497,3063
Q96S37,1031
Q62666,1013
O35633,1133
Q05940,1011
Q05940,1012
Q05940,1010
P11473,605
Q5S248,2422
Q9BQB6,2645
P32241,371
P41587,372
D4ABB2,710
P47901,367
P30518,368
P30560,366
P30291,2278
P00830,812
P47989,2646
Q9H4A3,2281
Q9H4A3,2280
P46094,75
Q9BYP7,2282
P98170,2790
P07947,2284
Q9NQW7,1578
Q9NQW7,1579
P51582,307
Q9UM63,587
P49146,306
P47900,305
Q15761,308
A0A024B7W1,2953
Q9NYL2,2289
